book,chapter,word_count
1818 Edition,0,1880
1818 Edition,1,1068
1818 Edition,2,773
1818 Edition,3,885
1818 Edition,4,813
1818 Edition,5,930
1818 Edition,6,1247
1818 Edition,7,1025
1818 Edition,8,707
1818 Edition,9,797
1818 Edition,10,1027
1818 Edition,11,730
1818 Edition,12,732
1818 Edition,13,684
1818 Edition,14,1051
1818 Edition,15,1096
1818 Edition,16,671
1818 Edition,17,964
1818 Edition,18,916
1818 Edition,19,1190
1818 Edition,20,1213
1818 Edition,21,1109
1818 Edition,22,881
1818 Edition,23,2899
1831 Edition,0,2925
1831 Edition,1,655
1831 Edition,2,813
1831 Edition,3,937
1831 Edition,4,883
1831 Edition,5,810
1831 Edition,6,965
1831 Edition,7,1254
1831 Edition,8,1048
1831 Edition,9,807
1831 Edition,10,850
1831 Edition,11,1025
1831 Edition,12,729
1831 Edition,13,732
1831 Edition,14,685
1831 Edition,15,1046
1831 Edition,16,1138
1831 Edition,17,603
1831 Edition,18,1027
1831 Edition,19,936
1831 Edition,20,1213
1831 Edition,21,1237
1831 Edition,22,1158
1831 Edition,23,902
1831 Edition,24,2904
